Meaning,Spanish,Portuguese,Notes
"newspaper, journal",peri�dico < Lat. period?cus < gr. ?????????? [18],jornal < Fra. journal,
journalist,periodista < Lat. period?cus < gr. ?????????? [19],jornalista < Fra. journaliste,
journey,recorrido < Lat. recurr?re [20],jornada < Proven�al. jornada < jorn[21],
shop window,escaparate < Ned. schaprade[22],montra < Fra. montre,The French-derived term vitrina (in both Spa/Por) or vitrine (in Por) is also used.
"boutique, clothes store",tienda< Lat. tenda[23],"boutique, butique < Fra. boutique[24]",
scarf,"bufanda < Uncertain, maybe O.Fra. bouffant[25]","cachecol, �charpe cache-col, �charpe[26]",
"lampshade, bedside lamp",l�mpara < Lat. < Gre. lamp?da < ??????[27],abajur < Fra. abat-jour[28],
New Year's Eve,Nochevieja < Lat. noctis + veclus < vet?lus[29],Reveillon < Fra. Reveillon,
frisson,escalofr�o < Lat. + prefix ex + cale+ frige[30],frisson < Fra. frisson[31],
"gaffe, blunder",metedura de pata < Lat. + Ar. < mitt?re + batt[32],gafe < Fra. gaffe [33],
brioche,"bollo de leche < Lat. < bulla + lactis,[34][35]",brioche < Fra. brioche [36],
croissant,medialuna < Lat. < media + luna[37],"croissant, croass� < Fra. croissant [38]",
"courgette, zucchini",calabac�n < Pre-roman calabaza[39],"courgette, curgete < Fra. courgette [39]",
blueberry,ar�ndano < Celt + Lat. aran + rodamd?rum[40],mirtilo < Fra. myrtille [41],In Por. arando < Celt aran means cranberry
"billy club, truncheon",porra < Lat. porrum[42],"cassetete, casse-t�te < Fra. casse-t�te [43]",
creche,guarder�a infantil < Ger. + Lat. warda + infant?lis [44],creche < Fra. cr�che[45],
voyeur,mir�n < Lat. mir?ri [46],voyeur < Fra. voyeur,
omelette,tortilla < uncertain + suffix torta + illa,omelete < Fra. omelette[47],
swing,columpio < Leon. < Gr. columbiar < ???????? kolymb�n [48],balanc� < Fra. balanc�[49],
lipstick,pintalabios < Lat. pinct?re + labium [50],batom < Fra. b�ton[51],
cap,gorra < uncertain gorra [52],bon� < Fra. bonnet[53],
hat,sombrero < Lat subumbr?re[54],chap�u < O.Fra. chapel[55],
"fanny, pussy",co�o < Lat cunnus [56],chochota < Fra. chochotte[57],* popular slang/vulgar word in Brazil
(train) station,estaci�n (ferrocarril) < Lat. stati?nis[58],gare < Fra. gare [59],The term gare in Port. is also used for bus-station.
"quay, jetty, key",muelle < Lat. mollis[60],cais < Fra. quai [61],The term cais in Port. is also used for railway platforms.
vehicle,veh�culo < Lat. vehiculum[62],viatura < Fr. voiture [63],
"package, packaging",envase < Lat. in + vasum[64],embalagem < Fr. emballage [65],
rissole,empanadilla rellena < Lat. + prefix en + panis + re + plenus,"rissol, rissole < Fra. rissole[66]",
souvenir,recuerdo < Lat. record?ri[67],"souvenir, suvenir < Fr. souvenir [68]",
strike,huelga < Lat. follic?re[69],greve < Fr. gr�ve [70],
