Meaning,Spanish,Portuguese,Notes
alibi,coartada < Lat. coarctare,�libi < Lat. alibi,
"store, shop",tienda < Late Lat. tendam (< tendere),loja < Fr. loge < Frankish laubja,
knee,rodilla < Lat. rotellam ('little wheel'),joelho < Lat. genuculum,The learned word r�tula ('kneecap' in both Sp. and Port.) is from the same root as Spanish rodilla. Sp. de hinojos 'kneeling' is from the same source as Port. joelho.
home,hogar < Lat. efocus,Lar < Lat. Lar,Spanish also has lar: both words can also be used to mean "fireplace" (lareira in Pt.)
street,calle < Lat. callem,rua < Lat. [viam] r?gam,
(legal) prosecutor,fiscal < Lat. fiscalis,procurador < Lat. procurator,
"highway, road",carretera < carreta + ?era < carro < Lat. carrus < Gaulish carros,estrada < Lat. strata,
retailer,minorista < Lat. minor + ista,retalhista < Late Lat. taliare + ista,Brazilian Port. uses varejista
sales,rebajas < Lat. prefix 're' + bassus,"saldos, liquida��o < Ita. saldo < soldo, Lat. liquidus",
grocer,abarrotero Uncertain < Lat. or < Pre-Roman barra,merceeiro < Lat. merx + suffix eiro,
organic food,comida org�nica < Lat. + Greek comeder+organ?cum < �rganon ,"alimenta��o biol�gica, Bio < Lat. + Greek alere + ????+?????",Brazilian Port. tends to use org�nica.
leather,piel < Lat. pellis,"couro, coiro < Lat. c?r?um",Spanish also has cuero. Portuguese pele usually means 'skin' or 'fur'.
"fight, brawl",pelea < Lat. pilus,briga < Ita. or Occitan briga,
"riff-raff, mob",chusma < Genoese ci�sma < Gr. ????????,canalha < Occitan canalha,"Brazilian Port. tends to use ral�, gentalha"
police station,comisar�a (de polic�a) < Lat. + Gr. comissarius + politia < ???????? ,"esquadra, posto de pol�cia < Lat. + Gr. ex-quadrata, positus + politia < ????????",Brazilian Port. tends to use delegacia (de pol�cia)
"litter, rubbish",basura < Lat. vers?ra,lixo < Lat. l?x < l?cis,
hole,agujero < Lat. + suffix acuc?la + ero,"buraco < Proto-Germanic bur?, bur?n?[9]",
drill,taladro < Lat. taratrum,berbequim < Fr. vilebrequin < Dutch wimmelkijn,Brazilian Por. uses furadeira
demolition hammer,rompedor < Lat. rumpere + dor,martelo demolidor < Lat. martulus demolitio + dor,
sauce,salsa < Lat. salsus,molho < Lat. manuculus < manipulus,
plane,cepilladora < Lat. cippus + dora,plaina < Lat. planea,
"camshaft, camshaft tree",�rbol de levas < Lat. arb?s + levare,�rvore de cames < Lat. + Germanic arb?s + kamm,
gills,branquias < Lat. < Gr. branch?a < ???????,guelras < Proto-Germanic gelunaz,"In zoology, Port. also uses br�nquias (branchiae)."
goose,oca < Lat. auca,ganso < Gothic/Suebian gans,Spanish also has ganso.
chicken,pollo < Lat. pullus,"frango < Probably Fr. francolin < Ita. francolino, all of uncertain origin",
lamp,l�mpara < Lat. lamp?da,candeeiro < Lat. candelae,"Portuguese l�mpada usually means 'light bulb' (except in certain idioms, like l�mpada de Aladino, i.e., 'Aladdin's lamp')"
