Portuguese,Spanish,English
cola (< Lat. coloere),"pegamento, cola (< Lat. pix, < Lat. coloere)",glue
vaso (< Lat. vasum),"maceta, tiesto (< Hisp.-Ar. maceta, maybe < Ital. mazzetto; < Lat. testu)","vase, flowerpot"
floco (< Lat. floccus),copo (< Lat. cuppa),flake
compet�ncia (< Lat. competentia),"aptitud, capacidad (< Lat. aptit?do; capac?t?tis)","competence, competency"
despido (< Lat. expedire),desnudo (< Lat. ex + nudus),naked
osso (< Lat. ossum),hueso (< Lat. ossum),bone
pez (< Lat. pix),brea (< Fr. brayer),"pitch, resin"
polvo (< Gr. ????????),pulpo (< Gr. ????????),octopus
tenda (< Lat. tenda < tend?re),"tienda, lona, toldo (< Lat. tenda < tend?re; < Fr. Olonne; < Fr. taud < Old Germ. tialz)","tent, marquee"
gan�ncia (< Gothic ganan),"codicia, avaricia, af�n (< Lat. cupiditia; < Lat. avaritia; probably < Lat. afannae)","greed, avarice, covetousness"
invers�o (< Lat. inversionis),inversi�n (< Lat. inversionis),inversion
"embara�ada (< Lat. in + O.Port. bara�a, of uncertain origin)",avergonzada (< Lat. verecundia),embarrassed
estafa (< Ital. staffa),"agotamiento, fatiga, extenuaci�n (< Lat.gutta; < Lat.fatig?re; < Lat. extenu?re)","exhaustion, tiredness, wear out"
esquisito (< Lat. exquisitus),"raro, extra�o, peculiar (< Lat. rarus; < Lat. extr?neus; < Lat. peculi?ris)","odd, strange, peculiar"
mol�stia (< Lat. molestiae),"enfermedad, achaque, plaga, peste (< Lat. infirmitas; < Ar. �ak?; < Lat. plaga; < Lat. pestis )","disease, plague"
servi�o (< Lat. servitium),servicio (< Lat. servitium),service
"perro (origin uncertain, maybe < Sp. perro)",oxidado (< Greek oxis + Lat. suffix -tatus),rusty
berro (< Lat. barrire),"chillido, berrido (< Lat. cisclare; < Lat. barrire)","screech, shriek"
aceite (< Lat. accept?re),aceptado (< Lat. accept?re),accepted
oficina (< Lat. offic?na < officium),taller; taller de coches; taller mec�nico de autos (< Old Fr. astelier; < Old Fr. estalier + Lat. cocca; < Old Fr. astelier + Lat. mechanicus + Gr. ????),"auto repair centre, repair garage, workshop"
firma (< Lat. firmus),"empresa; compa��a; sociedad, negocio (< Lat. prenhendere; companio; societas; nec otium)","business, firm, company, corporation, enterprise, venture, establishment, group, house"
presunto (< Lat. persuctus),jam�n (< Fr. jambon),"ham, prosciutto"
risco (< Lat. reseca),riesgo (< Arabic rizq[5] or maybe Italian rischio}}),"risk, line"
topo (< Gr. t�pos),cumbre (< Lat. columen or culmen),top
